SNo,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,country,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,hand,religion,familysize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4,1,4,2,3,4,1,4,3,1,3,4,4,1,2,2,3,2,1,3,3,2,1,3,2,3,3,3,4,2,2,4,3,3,3,3,2,2,1,4,1,4,NI,165,168,5,4,4,6,4,4,6,5,2,5,2,3,2,16,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,1,1,2,2,2,1,2,1,1,4,4,2,1,1,2,1,1,1,1,2,3,1,2,3,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,4,DO,229,165,4,6,5,6,6,4,4,2,3,2,3,1,2,24,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,1,3,3,4,2,1,2,2,4,3,3,4,1,4,4,2,4,1,3,4,2,1,3,2,4,3,2,1,2,4,2,3,3,3,3,4,4,4,2,1,4,TR,545,234,2,2,3,1,7,7,3,7,7,1,2,3,3,16,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3,2,4,2,3,2,3,4,2,3,3,2,4,3,2,3,3,2,2,2,3,3,2,3,2,4,3,3,3,3,3,3,3,4,2,1,3,3,3,3,2,4,US,140,127,3,5,5,6,2,6,6,5,2,3,2,3,2,18,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,1,3,3,3,1,1,2,1,3,1,2,3,1,1,4,4,3,1,2,4,2,2,3,2,2,1,1,2,3,3,1,2,4,2,2,3,4,1,2,1,4,DO,168,146,3,6,3,4,4,7,3,4,3,3,3,2,2,24,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,1,1,2,3,4,4,3,4,2,2,4,2,3,2,1,2,3,1,3,3,3,1,2,3,2,2,4,4,2,1,3,4,3,2,2,1,2,2,4,3,3,US,173,193,3,5,2,7,5,3,4,6,2,2,2,2,2,18,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,NO,299,79,1,5,6,2,4,6,2,2,6,6,2,2,1,23,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3,1,4,1,4,3,2,1,1,4,4,3,4,1,1,4,4,1,1,1,3,1,1,4,1,4,3,1,4,2,4,4,2,3,4,1,4,4,3,1,1,4,GR,849,204,5,7,5,1,3,1,1,1,4,1,2,3,2,22,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,US,242,186,4,5,6,6,4,5,6,4,5,3,3,3,2,61,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2,3,2,3,2,3,1,2,2,3,2,3,2,3,2,2,2,2,3,1,1,2,3,2,2,1,3,2,2,2,2,3,2,1,3,1,2,1,2,1,3,4,GR,433,320,2,4,1,5,6,4,3,6,6,3,3,3,2,21,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,4,4,4,4,1,3,1,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,2,1,4,4,4,1,4,4,4,4,4,4,3,4,3,2,4,4,4,IN,135,145,5,2,1,2,7,6,6,7,4,3,2,3,1,20,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,1,1,1,3,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,3,US,176,169,4,5,6,5,7,5,3,6,6,1,3,1,1,23,1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,3,1,1,1,2,2,1,2,US,146,117,1,6,7,1,5,6,5,3,7,2,2,1,2,17,1,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,2,3,1,3,2,1,2,3,2,3,2,4,3,2,2,2,4,2,3,1,2,1,2,2,4,2,2,2,2,1,2,2,2,4,2,1,1,2,3,2,2,MY,176,117,3,5,6,6,6,7,6,5,5,6,4,3,2,23,1,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,2,3,3,4,4,2,2,3,4,4,2,3,3,2,3,4,3,2,2,4,3,2,3,1,3,2,2,4,2,2,2,2,3,4,2,4,4,3,4,2,3,US,369,319,2,4,3,5,2,6,3,2,6,3,1,1,3,16,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,1,2,1,2,1,1,3,1,2,1,1,2,3,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,US,213,239,6,5,4,1,6,1,3,5,7,2,2,2,1,21,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3,1,4,1,4,3,1,2,3,1,3,1,3,3,1,2,1,1,1,1,1,2,1,3,4,1,1,1,3,4,4,4,2,2,4,1,1,1,2,1,2,4,US,192,171,5,7,2,6,6,6,2,7,1,2,4,3,2,26,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2,1,2,3,3,2,1,3,2,3,2,2,4,2,1,3,3,3,1,2,2,2,2,3,1,3,2,2,2,1,3,3,2,3,2,2,2,2,3,2,2,4,US,235,221,2,5,1,6,4,6,6,5,4,4,2,2,1,40,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,221,183,7,4,6,1,6,3,4,2,6,1,2,2,1,18,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,1,2,2,3,3,2,2,3,3,3,3,3,1,1,2,4,1,1,3,3,1,1,2,2,3,1,3,2,3,2,2,4,3,1,2,3,3,2,4,3,4,US,530,98,2,1,4,5,4,6,7,3,5,1,1,2,2,16,1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3,4,3,2,4,2,3,3,3,4,2,4,4,2,3,4,4,3,3,3,3,4,4,4,3,3,2,3,4,4,4,4,4,4,2,2,4,4,2,4,2,4,US,145,78,3,2,6,4,6,6,7,3,6,2,3,3,2,20,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3,1,1,1,2,2,1,2,2,1,2,3,1,2,2,1,1,3,1,2,1,3,1,2,3,1,3,2,2,2,3,2,3,1,3,1,1,1,3,2,1,2,DE,228,150,5,6,4,5,7,6,5,1,4,2,3,3,2,27,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,1,2,1,2,3,1,2,2,1,3,3,2,1,1,1,1,4,3,3,1,2,1,2,1,2,3,2,3,3,1,4,4,1,3,2,1,1,4,4,1,2,US,186,124,3,3,7,5,5,7,7,1,3,4,3,1,2,22,1,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,2,3,1,2,1,1,3,3,4,1,1,3,2,2,3,4,1,2,1,4,2,1,2,1,3,1,1,1,1,2,1,2,4,1,1,4,4,2,3,1,3,US,3386,584,1,1,4,1,4,6,2,6,4,7,3,3,1,28,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3,4,4,3,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,CA,121,113,6,5,3,7,7,6,7,7,2,1,2,2,2,17,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2,1,2,1,3,2,1,2,1,2,2,3,2,2,1,3,2,2,1,2,2,3,1,2,1,2,2,2,2,2,2,3,3,2,1,2,2,2,3,1,2,3,US,212,77,2,3,4,4,6,5,4,4,4,1,3,3,2,22,1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2,1,1,4,4,3,4,4,3,1,3,4,4,2,2,2,1,1,3,4,1,3,1,2,2,4,2,4,4,1,1,2,4,1,2,3,1,1,3,3,4,4,US,239,178,2,2,2,5,5,6,6,1,5,2,2,2,2,15,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,4,4,4,2,4,4,4,4,2,3,3,4,2,3,3,4,2,4,3,4,4,4,2,3,3,2,4,3,2,2,4,3,4,2,4,3,3,2,4,4,4,US,159,364,3,3,4,7,3,7,5,6,2,7,2,2,2,15,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,US,176,218,6,4,7,1,6,4,1,1,6,2,2,3,1,18,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,3,1,1,2,1,1,2,2,2,1,1,3,US,172,124,5,2,7,5,5,3,7,2,5,5,3,3,2,60,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3,1,3,1,4,4,2,4,4,4,4,4,4,4,2,3,4,4,3,1,4,4,1,4,4,4,4,3,3,1,4,3,4,4,3,1,4,4,4,4,3,4,LK,148,190,2,7,4,6,4,2,2,3,2,5,2,3,2,18,1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,3,2,2,3,4,3,3,3,3,3,4,3,1,3,2,2,1,4,3,2,3,1,2,3,2,1,4,2,3,2,2,3,2,1,3,1,2,3,3,3,3,GB,216,158,2,5,4,7,4,6,4,4,3,7,3,3,2,20,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,1,1,1,3,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,3,BR,121,164,5,2,2,1,4,5,2,6,7,4,2,3,1,20,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4,1,2,1,4,4,2,4,2,1,3,4,2,2,2,2,3,4,1,2,2,4,1,2,1,2,4,3,4,2,2,1,2,4,2,2,1,3,3,3,1,4,US,159,73,7,6,3,6,4,1,7,5,3,2,1,2,2,14,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4,2,2,3,3,2,2,2,2,1,2,3,3,4,2,2,1,2,1,2,1,3,1,2,4,2,2,4,2,2,1,3,2,2,2,3,1,1,4,3,2,4,US,198,136,6,6,5,4,7,2,5,3,5,4,1,2,2,16,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3,2,1,1,2,2,1,2,2,2,3,3,1,4,1,3,2,3,1,2,1,2,1,2,2,1,4,2,1,2,1,4,3,1,4,1,1,1,4,4,2,3,US,613,58,1,6,5,3,5,5,1,3,6,2,1,2,2,14,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,2,4,2,4,1,2,2,2,3,2,3,4,3,2,3,3,2,2,2,4,3,1,4,3,3,3,2,4,2,4,2,1,3,2,2,4,4,3,2,2,4,US,113,69,6,5,6,3,7,6,5,5,4,6,3,1,2,21,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,4,2,3,3,4,3,4,3,2,4,4,4,4,3,2,3,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,3,US,1342,194,4,4,6,7,6,7,5,4,4,1,2,3,2,15,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,1,3,1,3,2,1,2,3,3,3,3,3,2,1,4,4,2,1,1,4,3,1,2,1,3,4,2,2,3,3,3,3,4,2,3,3,4,3,4,1,4,US,155,119,2,5,6,5,7,6,5,6,5,3,1,2,2,14,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,2,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,US,151,153,1,3,5,6,6,7,2,7,1,2,2,3,1,17,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3,4,3,4,4,4,4,4,4,4,4,3,4,1,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,US,147,177,1,2,5,7,1,6,5,6,1,4,2,2,2,15,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,US,155,118,6,4,6,0,5,4,5,5,4,2,2,2,1,18,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,2,2,3,2,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,3,2,2,2,3,2,2,4,2,4,US,176,107,1,5,2,7,3,7,3,5,1,3,2,1,2,20,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2,4,2,1,2,1,1,1,1,2,1,1,1,2,2,3,1,3,1,1,4,4,1,2,1,1,2,1,1,1,2,1,3,3,1,1,2,4,3,1,3,2,US,217,175,7,5,6,1,5,2,3,1,7,1,3,3,2,24,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,1,1,1,4,1,1,4,1,1,2,3,2,2,1,1,1,2,3,1,1,4,1,1,2,2,2,1,1,4,1,2,4,1,2,1,1,1,4,2,1,4,US,149,108,7,1,7,5,7,2,7,5,5,1,4,1,1,40,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,IN,163,162,1,1,4,7,4,7,7,4,1,4,4,2,2,37,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,4,2,1,4,1,1,1,2,3,1,1,4,2,4,4,3,1,1,2,4,1,1,3,1,1,1,1,2,3,4,3,1,3,2,2,4,4,1,3,1,3,AR,198,164,2,6,1,7,1,5,2,6,7,6,2,2,1,22,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3,4,2,2,3,2,3,4,3,3,3,2,4,4,3,2,4,4,2,1,3,4,2,3,3,3,2,2,3,4,2,3,2,3,3,1,2,3,2,1,2,4,US,246,179,4,1,7,3,6,5,4,3,3,2,2,2,1,18,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,1,2,2,3,2,2,4,4,1,2,2,3,2,2,3,2,1,2,2,2,3,1,3,3,4,2,3,2,2,3,3,4,2,2,1,3,2,2,3,4,4,KH,388,193,1,5,6,6,5,7,5,1,3,3,3,2,2,23,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2,1,3,1,3,2,1,3,3,1,2,1,4,1,1,3,3,2,1,1,3,1,1,3,1,4,2,1,4,1,3,2,3,4,1,2,3,3,2,1,1,4,US,1164,191,1,1,1,6,6,7,5,4,1,4,4,2,1,46,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,1,2,1,4,2,1,1,2,4,1,1,3,1,1,2,4,3,1,2,3,1,1,2,1,4,2,1,1,1,2,1,2,3,1,2,3,3,1,1,1,4,US,225,160,6,6,3,5,7,3,6,3,3,5,3,2,1,57,1,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,